Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	0.303405	0.303405	0.303405	0.303405	0.234049	0.000000	0.126954	0.303405	0.303405	0.303405	0.303405	0.303405
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.422510	0.422510	0.422510	0.422510	0.422510	0.422510	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.439778	0.439778	0.439778	0.017269	0.439778	0.439778	0.017269	0.140914	0.439778	0.439778	0.439778	0.439778
IND_BOILER_WASTE	1.158395	1.158395	1.158395	1.158395	0.735885	0.735885	1.158395	1.034749	0.735885	1.158395	1.158395	1.158395
DHN_HP_ELEC	1.024768	1.024768	1.024768	0.001531	0.000000	0.000000	0.000000	0.000000	0.000000	0.602550	1.024768	1.024768
DHN_BOILER_GAS	0.596457	0.578267	0.087120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134658	0.902060
DHN_GEOTHERMAL	0.399575	0.399575	0.399575	0.399575	0.085316	0.085316	0.085316	0.085316	0.295842	0.399575	0.399575	0.399575
DEC_HP_ELEC	8.638920	8.561155	6.461500	1.714726	0.364726	0.364726	0.364726	0.364726	1.264726	4.284081	6.664726	9.945371
DEC_THERMAL_HP_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
H2_FROM_GAS	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726
PYROLYSIS	0.873288	0.873288	0.873288	0.860986	0.542386	0.542386	0.542386	0.542386	0.754786	0.873288	0.873288	0.873288

Resource [GW]
ELECTRICITY	4.776378	4.782082	4.093447	1.670102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.860294	5.514023
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.012302	0.330902	0.330902	0.330902	0.330902	0.118502	0.000000	0.000000	0.000000
OIL	1.165497	1.147145	0.651626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137755	0.699588	1.473820
NG	8.309742	8.234728	6.209335	2.735542	1.774342	1.774342	1.774342	1.774342	2.415142	4.564923	6.405373	9.569987
WOOD	1.309932	1.309932	1.309932	1.291479	0.813579	0.813579	0.813579	0.813579	1.132179	1.309932	1.309932	1.309932
COAL	0.536530	0.536530	0.536530	0.021068	0.536530	0.536530	0.021068	0.171915	0.536530	0.536530	0.536530	0.536530
URANIUM	0.819194	0.819194	0.819194	0.819194	0.631932	0.000000	0.342776	0.819194	0.819194	0.819194	0.819194	0.819194
WASTE	1.413242	1.413242	1.413242	1.413242	0.897780	0.897780	1.413242	1.262394	0.897780	1.413242	1.413242	1.413242

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_NG	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
