Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	70.308020	33.374568
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	2.053610	0.532362
IND_BOILER_COAL	4.179935	1.081855
IND_BOILER_WASTE	11.010126	2.849652
DHN_HP_ELEC	22.191034	13.117028
DHN_BOILER_GAS	4.384465	1.136596
DHN_GEOTHERMAL	33.951816	24.014431
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	131.802168	57.656885
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	132.200818	112.392123

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	1252.791841
GASOLINE	702.000000
DIESEL	96.390000
OIL	267.787558
NG	1616.420968
WOOD	592.110000
COAL	84.504083
URANIUM	18.277626
WASTE	0.000000
