End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	4.466903	4.346269	4.029320	3.666324	3.475103	3.318450	3.305522	3.295949	3.656031	3.889551	4.562622	4.755019	
HEAT_HIGH_T	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
HEAT_LOW_T_DHN	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403	
HEAT_LOW_T_DECEN	17.277839	17.122309	12.923000	3.429452	0.729452	0.729452	0.729452	0.729452	2.529452	8.568162	13.329452	19.890742	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	5.707763	
MOB_PRIVATE	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	8.561644	
MOB_FREIGHT_RAIL	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	
MOB_FREIGHT_ROAD	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	
