Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	5.369513
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
IND_BOILER_OIL	0.305698
IND_BOILER_COAL	1.246901
IND_BOILER_WASTE	1.969272
DHN_HP_ELEC	7.165177
DHN_BOILER_GAS	0.652667
DHN_GEOTHERMAL	10.772530
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	108.897945
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	8590.572624
GASOLINE	2730.000000
DIESEL	342.720000
OIL	1185.916330
NG	10910.841537
WOOD	118.422000
COAL	1469.636226
URANIUM	24.370168
WASTE	1671.300000
