Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	10.000000	10.000000	10.000000	7.741239	9.632762	3.704599	5.131935	5.734492	10.000000	10.000000	10.000000	10.000000
CCGT_CCS	3.704642	3.704642	3.704642	3.704642	0.000000	3.704642	2.292461	3.704642	2.231054	3.704642	3.704642	3.704642
PV	0.750000	1.350000	1.800000	2.250000	2.250000	2.400000	2.400000	2.400000	1.950000	1.350000	0.750000	0.600000
WIND	1.696000	1.484000	1.484000	0.954000	0.901000	0.742000	0.795000	0.742000	0.848000	1.484000	1.643000	1.802000
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
HYDRO_RIVER	0.255000	0.221000	0.263500	0.374000	0.527000	0.654500	0.654500	0.603500	0.467500	0.314500	0.297500	0.289000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.443333	0.000000	0.700000	0.700000	0.000000	0.700000	0.700000	0.700000	0.700000
IND_BOILER_GAS	0.783995	1.013817	1.013817	1.013817	0.794907	0.794907	0.794907	0.794907	0.947870	1.013817	1.013817	0.783995
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.573822	0.803266	0.803266	0.803266	0.803266	0.650303	0.137137	0.000000	0.000000
IND_HEATER_ELEC	0.814178	0.584357	0.584357	0.010535	0.000000	0.000000	0.000000	0.000000	0.000000	0.447220	0.584357	0.814178
DHN_HP_ELEC	1.931336	1.931336	1.931336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.664681	1.931336	1.931336
DHN_BOILER_GAS	1.789372	1.734801	0.261359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.403974	2.706181
DHN_GEOTHERMAL	2.341691	2.341691	2.341691	1.203317	0.255948	0.255948	0.255948	0.255948	0.887527	2.341691	2.341691	2.341691
DEC_HP_ELEC	7.654698	7.280392	4.974121	0.438462	0.000000	0.000000	0.000000	0.000000	0.000000	3.093544	5.668308	9.003044
DEC_BOILER_GAS	2.687664	2.663470	2.010245	0.533470	0.113470	0.113470	0.113470	0.113470	0.393470	1.332825	2.073470	3.094115
DEC_BOILER_OIL	1.343832	1.331735	1.005122	0.266735	0.056735	0.056735	0.056735	0.056735	0.196735	0.666413	1.036735	1.547058
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.348505	0.348505	0.348505	0.348505	1.208476	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	1.152126	1.141755	0.861735	0.228684	0.048642	0.048642	0.048642	0.048642	0.168670	0.571345	0.888838	1.326360
H2_ELECTROLYSIS	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283
PYROLYSIS	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OIL	0.651247	0.636973	0.251569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.288873	0.891053
NG_CCS	6.483123	6.483123	6.483123	6.483123	0.000000	6.483123	4.011808	6.483123	3.904344	6.483123	6.483123	6.483123
WOOD	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712
URANIUM	27.000000	27.000000	27.000000	20.901346	26.008457	10.002417	13.856225	15.483128	27.000000	27.000000	27.000000	27.000000

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
