Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	2317.298057	1100.000000
CCGT_CCS	277.359421	111.880188
PV	1282.696583	285.000000
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_GAS	4.927658	1.277409
IND_BOILER_OIL	3.904276	1.012115
IND_HEATER_ELEC	24.582467	1.310827
DHN_HP_ELEC	41.822489	24.721100
DHN_BOILER_GAS	47.075849	12.203590
DHN_GEOTHERMAL	198.973310	140.735647
DEC_HP_ELEC	431.024723	249.504326
DEC_BOILER_GAS	58.028718	22.621726
DEC_BOILER_OIL	26.066651	20.182128
THERMAL_SOLAR	741.807191	100.000000
DEC_HEATER_ELEC	6.907301	0.361272
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	3027.657959	2574.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000
P2G_STORAGE	717.337808	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	-0.000000
OIL	137.947090
NG_CCS	1930.933501
WOOD	736.740000
URANIUM	602.416440
