Technology	Energy output [GWh/y]
NUCLEAR	74372.400
CCGT_CCS	27584.764
PV	14792.400
WIND	10636.464
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
HYDRO_RIVER	3602.640
GEOTHERMAL_ELEC	4905.600
IND_BOILER_GAS	7845.359
IND_BOILER_OIL	3354.641
IND_HEATER_ELEC	2800.000
DHN_HP_ELEC	7493.684
DHN_BOILER_GAS	4995.789
DHN_GEOTHERMAL	12489.474
DEC_HP_ELEC	27685.000
DEC_BOILER_GAS	11074.000
DEC_BOILER_OIL	5537.000
THERMAL_SOLAR	6326.889
DEC_HEATER_ELEC	4747.111
H2_ELECTROLYSIS	8780.000
PYROLYSIS	8186.000

Resource	Energy consumption [GWh/y]
GASOLINE	7800.000
DIESEL	0.000
OIL	1970.673
NG_CCS	48273.338
WOOD	12279.000
URANIUM	200805.480

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_DIESEL	1985.185
BUS_NG	3014.815
BUS_FC	10000.000
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
